name_genres,id_genres
Animation,16
Comedy,35
Family,10751
Adventure,12
Fantasy,14
Family,10751
Romance,10749
Comedy,35
Comedy,35
Drama,18
Romance,10749
Comedy,35
Action,28
Crime,80
Drama,18
Thriller,53
Comedy,35
Romance,10749
Action,28
Adventure,12
Drama,18
Family,10751
Action,28
Adventure,12
Thriller,53
Adventure,12
Action,28
Thriller,53
Comedy,35
Drama,18
Romance,10749
Comedy,35
Horror,27
Family,10751
Animation,16
Adventure,12
History,36
Drama,18
Action,28
Adventure,12
Drama,18
Crime,80
Drama,18
Romance,10749
Crime,80
Comedy,35
Crime,80
Comedy,35
Adventure,12
Action,28
Comedy,35
Crime,80
Comedy,35
Thriller,53
Crime,80
Drama,18
Thriller,53
Action,28
Adventure,12
Crime,80
Thriller,53
Drama,18
Fantasy,14
Science Fiction,878
Thriller,53
Drama,18
Romance,10749
Drama,18
Comedy,35
Drama,18
Family,10751
Drama,18
Romance,10749
Fantasy,14
Science Fiction,878
Adventure,12
Drama,18
Crime,80
Drama,18
Crime,80
Science Fiction,878
Thriller,53
Mystery,9648
Romance,10749
Adventure,12
Fantasy,14
Drama,18
Comedy,35
Family,10751
History,36
Drama,18
Romance,10749
Drama,18
Adventure,12
History,36
Drama,18
Family,10751
Comedy,35
Family,10751
Romance,10749
Comedy,35
Drama,18
Romance,10749
Drama,18
Drama,18
War,10752
Action,28
Crime,80
Drama,18
History,36
Drama,18
Romance,10749
Action,28
Fantasy,14
Fantasy,14
Drama,18
Comedy,35
Thriller,53
Drama,18
Romance,10749
Crime,80
Mystery,9648
Thriller,53
Adventure,12
Animation,16
Drama,18
Family,10751
Drama,18
Romance,10749
Drama,18
Crime,80
Thriller,53
Action,28
Thriller,53
Drama,18
Comedy,35
Romance,10749
Drama,18
Foreign,10769
Action,28
Adventure,12
Comedy,35
Family,10751
Drama,18
,
Comedy,35
Drama,18
Romance,10749
Comedy,35
Drama,18
Romance,10749
Thriller,53
Drama,18
Mystery,9648
Adventure,12
Family,10751
Fantasy,14
Drama,18
Thriller,53
Music,10402
Drama,18
Family,10751
Comedy,35
Comedy,35
Romance,10749
Comedy,35
Action,28
Science Fiction,878
Drama,18
Family,10751
Comedy,35
Romance,10749
Comedy,35
Horror,27
Action,28
Thriller,53
Crime,80
Action,28
Thriller,53
Romance,10749
Comedy,35
Drama,18
Romance,10749
Drama,18
History,36
Drama,18
Romance,10749
Comedy,35
Family,10751
Horror,27
Science Fiction,878
Documentary,99
Drama,18
Thriller,53
Drama,18
Thriller,53
Family,10751
Drama,18
Drama,18
Crime,80
Drama,18
Comedy,35
Romance,10749
Drama,18
,
Drama,18
Romance,10749
Action,28
Drama,18
Adventure,12
Comedy,35
Family,10751
Comedy,35
Crime,80
Drama,18
Thriller,53
Drama,18
Drama,18
Horror,27
Thriller,53
Romance,10749
Comedy,35
Horror,27
Romance,10749
Comedy,35
Drama,18
Romance,10749
Action,28
Adventure,12
Drama,18
Thriller,53
Comedy,35
Drama,18
Action,28
Adventure,12
Drama,18
Science Fiction,878
Thriller,53
Documentary,99
Drama,18
Thriller,53
Comedy,35
Crime,80
Drama,18
Comedy,35
Romance,10749
Drama,18
Mystery,9648
Science Fiction,878
Thriller,53
Comedy,35
Drama,18
Romance,10749
Drama,18
Comedy,35
Family,10751
Action,28
Comedy,35
Music,10402
Family,10751
Adventure,12
Documentary,99
Crime,80
Action,28
Drama,18
History,36
War,10752
Crime,80
Drama,18
Crime,80
Action,28
Comedy,35
Thriller,53
Drama,18
Thriller,53
Drama,18
Comedy,35
Documentary,99
Drama,18
Foreign,10769
Comedy,35
Crime,80
Drama,18
Comedy,35
Romance,10749
Comedy,35
Drama,18
Action,28
Adventure,12
Comedy,35
Drama,18
Family,10751
Drama,18
Comedy,35
Romance,10749
Drama,18
Comedy,35
Romance,10749
Drama,18
Romance,10749
Comedy,35
Romance,10749
Fantasy,14
Drama,18
,
Comedy,35
Romance,10749
Comedy,35
Drama,18
Drama,18
Romance,10749
War,10752
Action,28
Thriller,53
Mystery,9648
Romance,10749
Comedy,35
Drama,18
Romance,10749
Music,10402
Documentary,99
Comedy,35
Documentary,99
Comedy,35
Drama,18
,
Drama,18
Romance,10749
Comedy,35
Drama,18
Comedy,35
Drama,18
Romance,10749
Action,28
Comedy,35
Crime,80
Thriller,53
Action,28
Adventure,12
Drama,18
Family,10751
Drama,18
Crime,80
Romance,10749
Drama,18
Comedy,35
Crime,80
Comedy,35
Drama,18
Thriller,53
Drama,18
Adventure,12
Drama,18
Horror,27
Action,28
Crime,80
Fantasy,14
Drama,18
Romance,10749
Drama,18
Thriller,53
Comedy,35
Action,28
Comedy,35
Fantasy,14
Comedy,35
Family,10751
Mystery,9648
Crime,80
Drama,18
Action,28
Adventure,12
Drama,18
Mystery,9648
Science Fiction,878
Thriller,53
Action,28
Thriller,53
Drama,18
Documentary,99
Thriller,53
Action,28
Crime,80
Drama,18
Mystery,9648
Thriller,53
Action,28
Thriller,53
Action,28
Comedy,35
Crime,80
Drama,18
Drama,18
Crime,80
Action,28
Adventure,12
Drama,18
Romance,10749
Adventure,12
Action,28
Crime,80
Thriller,53
Drama,18
Comedy,35
Drama,18
Romance,10749
Adventure,12
Action,28
Drama,18
Science Fiction,878
Thriller,53
Science Fiction,878
Comedy,35
Drama,18
Drama,18
Crime,80
Drama,18
Comedy,35
Mystery,9648
Horror,27
Thriller,53
Comedy,35
Drama,18
Drama,18
Family,10751
Romance,10749
Romance,10749
Comedy,35
Action,28
Adventure,12
Science Fiction,878
Family,10751
Fantasy,14
Comedy,35
Drama,18
Romance,10749
Thriller,53
Foreign,10769
Horror,27
Thriller,53
Crime,80
Drama,18
Mystery,9648
Thriller,53
Action,28
Comedy,35
Comedy,35
Fantasy,14
Horror,27
Thriller,53
Fantasy,14
Comedy,35
Drama,18
Drama,18
Drama,18
History,36
Romance,10749
Documentary,99
Drama,18
Comedy,35
Drama,18
Comedy,35
Science Fiction,878
Horror,27
Action,28
Drama,18
Crime,80
Drama,18
Science Fiction,878
Thriller,53
Drama,18
Romance,10749
Thriller,53
Drama,18
Fantasy,14
Drama,18
Romance,10749
Comedy,35
Action,28
Thriller,53
Comedy,35
Drama,18
Family,10751
Documentary,99
Drama,18
Romance,10749
Adventure,12
Action,28
Drama,18
Action,28
Western,37
Drama,18
Adventure,12
Action,28
Comedy,35
Crime,80
Family,10751
Drama,18
Drama,18
War,10752
Drama,18
Romance,10749
Comedy,35
Drama,18
Thriller,53
Comedy,35
Drama,18
Drama,18
Family,10751
Thriller,53
Drama,18
Horror,27
Mystery,9648
Drama,18
Family,10751
Romance,10749
Comedy,35
Romance,10749
Drama,18
Comedy,35
Drama,18
Thriller,53
Crime,80
Mystery,9648
Romance,10749
Thriller,53
Action,28
Adventure,12
Thriller,53
Crime,80
Comedy,35
Fantasy,14
Drama,18
Thriller,53
Mystery,9648
Crime,80
Drama,18
Mystery,9648
Comedy,35
Comedy,35
Drama,18
Romance,10749
Drama,18
Mystery,9648
Thriller,53
Comedy,35
Crime,80
Romance,10749
Comedy,35
Drama,18
History,36
Comedy,35
Romance,10749
Comedy,35
Drama,18
Romance,10749
Action,28
Adventure,12
Drama,18
Family,10751
Romance,10749
Animation,16
Family,10751
Comedy,35
Adventure,12
Drama,18
Thriller,53
